locality_name,jurisdiction,median_income_band,demographic_descriptors,landmark_schools,youth_sports_leagues,community_centers,health_resources,signature_eateries
Central West End,St. Louis city neighborhood,$75k-$100k,"Highly educated professionals, racially diverse with growing LGBTQ+ community","Metro Academic and Classical High; St. Louis College Prep","CWE Soccer Club; Forest Park Little League","Carondelet YMCA; The Center for Spiritual Living","Barnes-Jewish Hospital; Planned Parenthood Central West End","Brasserie by Niche; Pi Pizzeria"
Tower Grove South,St. Louis city neighborhood,$45k-$65k,"Young families, immigrant-owned businesses, bilingual households","Roosevelt High; Shenandoah Elementary","St. Louis Dragons Youth Soccer; Tower Grove Baseball","Southside Wellness Center; International Institute","SSM Health Saint Louis University Hospital clinics; Affinia Healthcare","City Park Grill; Steve's Hot Dogs"
Delmar Loop,St. Louis city neighborhood,$40k-$60k,"Students and creatives, significant Black cultural heritage","University City High (adjacent); Crossroads College Prep","Loop Track Club; Junior Billikens Basketball","Pageant Community Room; Skinker-DeBaliviere Community Council","Washington University Clinics; People’s Health Centers","Blueberry Hill; Mission Taco Joint"
Clayton,St. Louis County municipality,$100k-$150k,"Affluent business district, corporate commuters, diverse international residents","Clayton High; Meramec Elementary","Clayton Greyhounds Hockey; Wydown Soccer","The Center of Clayton; Shaw Park Aquatic Center","Mercy Hospital St. Louis outpatient center; Siteman Cancer Center","Pastaria; Café Napoli"
Kirkwood,St. Louis County municipality,$75k-$100k,"Established families, historic district pride, aging-in-place seniors","Kirkwood High; Nipher Middle","Kirkwood Junior Baseball; Kirkwood United Soccer","Kirkwood Community Center; The Magic House","SSM Health St. Clare Hospital; Mercy Clinic Kirkwood","Billy G's; Dewey's Pizza"
Ferguson,North St. Louis County municipality,$35k-$45k,"Black-led civic groups, legacy of protest organizing, renters majority","McCluer High; Ferguson Middle","Ferguson Youth Initiative Basketball; Lady Warriors Track","Ferguson Community Empowerment Center; Boys & Girls Club","Christian Hospital Northwest; CareSTL Health","Vegan Deli on Wheels; Cathy's Kitchen"
Florissant,North St. Louis County municipality,$50k-$70k,"Working-class multigenerational households, Catholic parish anchors","Hazelwood Central High; Duchesne Elementary","Florissant Area Athletic Association; CYC Sports","James J. Eagan Center; John F. Kennedy Community Center","SSM DePaul Hospital; CareSTL Health Florissant","Hendel's Market Café; Old Town Donuts"
Jennings,North St. Louis County municipality,$30k-$40k,"Predominantly Black, strong grandparent caregivers, rental-heavy","Jennings Senior High; Fairview Elementary","Jennings Warriors Football; Lady Jays Basketball","YWCA Metro St. Louis Empowerment Center; Barack Obama Elementary Hub","CareSTL Jennings Health Center; People’s Health Centers","Mom's Soul Food Kitchen; Goody Goody Diner"
Maplewood Richmond Heights,Inner-ring St. Louis County municipality,$55k-$75k,"Blend of young professionals and legacy homeowners, LGBTQ-friendly","Maplewood Richmond Heights High; ECC Early Childhood","Maplewood Lions Club Sports; MRH Youth Wrestling","THE HEIGHTS Community Center; Maplewood Family Aquatic Center","SSM Health Urgent Care; Mercy Clinic Richmond Heights","Schlafly Bottleworks; Bolyard's Meat & Provisions"
Webster Groves,Inner-ring St. Louis County municipality,$80k-$110k,"Progressive families, arts-focused educators, aging creatives","Webster Groves High; Hixson Middle","Webster Kirkwood Football League; Ice Dogs Hockey","Webster Groves Recreation Complex; Old Orchard Community","SSM Health St. Mary's Hospital; Webster Family Medical","Olive + Oak; Balkan Treat Box"
St. Charles Historic Downtown,St. Charles County,$65k-$85k,"Riverfront tourism workers, suburban families, growing Latino population","St. Charles High; Lindenwood University","St. Charles Soccer Association; River City Rascals Juniors","Foundry Art Centre; Kathryn Linnemann Library","SSM Health St. Joseph Hospital; Compass Health","Salt + Smoke; Sugarbot Creamery"
O'Fallon,St. Charles County,$80k-$100k,"Military-connected households, tech commuters, rapid subdivision growth","Ft. Zumwalt West High; Liberty High","O'Fallon Panthers Football; St. Peters Spirits Hockey","Renaud Center; O'Fallon Family YMCA","BJC Progress West Hospital; Mercy O'Fallon Clinic","Brass Rail Steakhouse; O'Fallon Brewery"
St. Peters,St. Charles County,$70k-$90k,"Dual-income families, good school perception, neurodivergent supports","Ft. Zumwalt South High; Francis Howell Central","St. Peters Hockey Club; St. Peters Athletic Association","St. Peters Rec-Plex; Youth Activity Park","SSM Health St. Joseph West; BJC Urgent Care","Hobos at the American Legion; Rosalita's Cantina"
Arnold,Jefferson County,$55k-$70k,"Working-class commuters, recovering opioid impact, floodplain awareness","Fox High; Seckman High","Arnold Athletic Association; Twin City Youth Soccer","Arnold Recreation Center; Jefferson County Library","Mercy Hospital Jefferson; Comtrea Health Center","Pasta House Arnold; 026 Pub n Biergarten"
Edwardsville,Madison County (Metro East),$75k-$95k,"SIUE college town mix, professional commuters, expanding international student base","Edwardsville High; Liberty Middle","Edwardsville YMCA Breakers Swim; Glen-Ed Soccer","Meyer Center; Wildey Theatre programs","Anderson Hospital; SIHF Healthcare","Cleveland-Heath; Sacred Grounds Café"
Belleville,St. Clair County (Metro East),$50k-$65k,"Retired military, Black Catholic parishes, downtown arts hub","Belleville West High; Governor French Academy","Belleville Little Devils Football; Lindenwood-Belleville Rugby","Belleville Community Center; East Belleville YMCA","Memorial Hospital Belleville; SIHF Belleville","BEAST Craft BBQ; Tavern on Main"
East St. Louis,St. Clair County (Metro East),$25k-$35k,"Historic Black cultural hub, disinvestment challenges, strong faith coalitions","East St. Louis Senior High; SIUE Charter","Flyers Youth Football; Jackie Joyner-Kersee Track Club","Jackie Joyner-Kersee Center; Christian Activity Center","Touchette Regional Hospital; SIHF Cahokia","Rice N' Roll; Nadine's Fish Tips"
