# Enlitens AI Processing Log Snapshot - October 29, 2025
# Source: /home/antons-gs/enlitens-ai/logs/logs/enlitens_complete_processing.log
# Total log lines: 48,612 | October 29 entries: 8,668
# Last updated: October 29, 2025 13:21

# === Initial Setup (from start of log) ===
2025-10-27 21:31:46,844 - __main__ - INFO - 🧹 Cleaned up old log files
2025-10-27 21:31:46,845 - src.agents.base_agent - INFO - Initializing agent: EnlitensSupervisor (Multi-Agent System Orchestrator)
2025-10-27 21:31:46,855 - src.extraction.enhanced_extraction_tools - INFO - Enhanced extraction tools initialized on cuda
2025-10-27 21:31:46,862 - src.extraction.enhanced_pdf_extractor - INFO - Using cached extraction for st_louis_health_report.pdf
2025-10-27 21:31:46,862 - __main__ - INFO - ✅ Loaded St. Louis health report: st_louis_health_report.pdf
2025-10-27 21:31:46,862 - __main__ - INFO - 🚀 Multi-Agent Processor initialized
2025-10-27 21:31:46,862 - __main__ - INFO - 🚀 Starting MULTI-AGENT Enlitens Corpus Processing
2025-10-27 21:31:46,862 - __main__ - INFO - 📁 Input directory: enlitens_corpus/input_pdfs
2025-10-27 21:31:46,862 - __main__ - INFO - 📄 Output file: enlitens_knowledge_base_complete_20251027_213139.json
2025-10-27 21:31:46,862 - __main__ - INFO - 📊 Log file: enlitens_complete_processing.log (comprehensive log for all 344 files)
2025-10-27 21:31:46,862 - __main__ - INFO - 🏙️ St. Louis context: 4 categories loaded
2025-10-27 21:31:46,891 - __main__ - INFO - 🔥 GPU: NVIDIA GeForce RTX 3090 (25.3GB)
2025-10-27 21:31:46,892 - __main__ - INFO - 💾 RAM: 67.3GB available / 58.6GB available
2025-10-27 21:31:46,892 - __main__ - INFO - 💽 Disk: 728.3GB available
2025-10-27 21:31:46,892 - __main__ - INFO - 📚 Found 344 PDF files to process

# === OCTOBER 29, 2025 PROCESSING ACTIVITY ===
# Sample entries showing processing on October 29th (first 250 entries)2025-10-29 10:37:52,893 - src.synthesis.ollama_client - ERROR - Final error: All list fields are empty - no content generated
2025-10-29 10:37:52,893 - src.synthesis.ollama_client - ERROR - Full LLM response on final attempt:
{"treatment_approaches": ["NOT_PRESENT"], "assessment_methods": ["NOT_PRESENT"], "intervention_strategies": ["NOT_PRESENT"], "client_education": ["NOT_PRESENT"], "progress_indicators": ["NOT_PRESENT"]}
2025-10-29 10:37:52,893 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:37:52,893 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:38:39,918 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:38:39,918 - src.synthesis.ollama_client - INFO - Generated response length: 2359 characters
2025-10-29 10:38:39,918 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:38:39,919 - src.synthesis.ollama_client - INFO - Successfully validated response with 6 keys
2025-10-29 10:38:39,919 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:38:39,919 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:39:11,848 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:39:11,849 - src.synthesis.ollama_client - INFO - Generated response length: 1666 characters
2025-10-29 10:39:11,849 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:39:11,849 - src.synthesis.ollama_client - INFO - Successfully validated response with 5 keys
2025-10-29 10:39:11,849 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:39:11,849 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:40:39,779 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:40:39,779 - src.synthesis.ollama_client - INFO - Generated response length: 3692 characters
2025-10-29 10:40:39,779 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:40:39,779 - src.synthesis.ollama_client - INFO - Successfully validated response with 2 keys
2025-10-29 10:40:39,779 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:40:39,779 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:40:47,253 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:40:47,253 - src.synthesis.ollama_client - INFO - Generated response length: 188 characters
2025-10-29 10:40:47,253 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:40:47,253 - src.synthesis.ollama_client - INFO - Successfully validated response with 1 keys
2025-10-29 10:40:47,253 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:40:47,253 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:41:21,798 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:41:21,798 - src.synthesis.ollama_client - INFO - Generated response length: 1931 characters
2025-10-29 10:41:21,798 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:41:21,798 - src.synthesis.ollama_client - INFO - Successfully validated response with 3 keys
2025-10-29 10:41:21,799 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:41:21,799 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:42:54,236 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:42:54,236 - src.synthesis.ollama_client - INFO - Generated response length: 4097 characters
2025-10-29 10:42:54,236 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:42:54,237 - src.synthesis.ollama_client - INFO - Successfully validated response with 2 keys
2025-10-29 10:42:54,237 - src.agents.base_agent - WARNING - Agent ClinicalSynthesis output validation failed
2025-10-29 10:42:54,237 - src.agents.supervisor_agent - WARNING - ⚠️ Agent clinical_synthesis returned empty results
2025-10-29 10:42:54,237 - src.agents.supervisor_agent - INFO - 🔄 Executing agent: founder_voice
2025-10-29 10:42:54,237 - src.agents.supervisor_agent - INFO - 📋 Agent context keys: ['document_id', 'document_text', 'client_insights', 'founder_insights', 'st_louis_context', 'processing_stage', 'intermediate_results', 'clinical_data']
2025-10-29 10:42:54,237 - src.agents.base_agent - INFO - Agent FounderVoiceAgent starting processing
2025-10-29 10:42:54,237 - src.agents.founder_voice_agent - INFO - 🎙️ Founder Voice Agent processing: Does_mindfulness_practice_increase_neuroplasticity
2025-10-29 10:42:54,269 - src.synthesis.ollama_client - INFO - OllamaClient initialized with base_url: http://localhost:11434 and default_model: llama3.1:8b
2025-10-29 10:42:54,270 - src.synthesis.ollama_client - INFO - Generating response with model: llama3.1:8b
2025-10-29 10:43:00,970 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:43:00,971 - src.synthesis.ollama_client - INFO - Generated response length: 2328 characters
2025-10-29 10:43:00,971 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:43:00,971 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:43:38,961 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:43:38,962 - src.synthesis.ollama_client - INFO - Generated response length: 1708 characters
2025-10-29 10:43:38,962 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:43:38,962 - src.synthesis.ollama_client - INFO - Successfully validated response with 6 keys
2025-10-29 10:43:38,962 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:43:38,962 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:43:58,641 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:43:58,641 - src.synthesis.ollama_client - INFO - Generated response length: 1048 characters
2025-10-29 10:43:58,642 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:43:58,642 - src.synthesis.ollama_client - WARNING - All 6 list fields are empty - may indicate poor LLM output
2025-10-29 10:43:58,642 - src.synthesis.ollama_client - WARNING - Attempt 1 failed: All list fields are empty - no content generated
2025-10-29 10:43:58,642 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.4
2025-10-29 10:43:58,642 - src.synthesis.ollama_client - INFO - Attempt 2/3 for structured generation
2025-10-29 10:43:58,642 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:43:58,922 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:43:58,923 - src.synthesis.ollama_client - INFO - Generated response length: 2 characters
2025-10-29 10:43:58,923 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:43:58,923 - src.synthesis.ollama_client - WARNING - All 6 list fields are empty - may indicate poor LLM output
2025-10-29 10:43:58,923 - src.synthesis.ollama_client - WARNING - Attempt 2 failed: All list fields are empty - no content generated
2025-10-29 10:43:58,923 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.5
2025-10-29 10:43:58,923 - src.synthesis.ollama_client - INFO - Attempt 3/3 for structured generation
2025-10-29 10:43:58,923 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - ERROR - Ollama request failed: 
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - INFO - Direct parsing failed, attempting JSON repair
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - INFO - JSON repair successful
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - ERROR - Coerced data is not a dictionary: type=<class 'str'>, value=
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - WARNING - Attempt 3 failed: Expected dict after coercion, got str
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - ERROR - All 3 attempts failed for structured generation
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - ERROR - Final error: Expected dict after coercion, got str
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - ERROR - Full LLM response on final attempt:
Error: Ollama request failed - 
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - INFO - Attempt 1/3 for structured generation
2025-10-29 10:48:58,950 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:49:01,609 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:49:01,610 - src.synthesis.ollama_client - INFO - Generated response length: 124 characters
2025-10-29 10:49:01,610 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:49:01,610 - src.synthesis.ollama_client - WARNING - All 6 list fields are empty - may indicate poor LLM output
2025-10-29 10:49:01,610 - src.synthesis.ollama_client - WARNING - Attempt 1 failed: All list fields are empty - no content generated
2025-10-29 10:49:01,610 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.5
2025-10-29 10:49:01,610 - src.synthesis.ollama_client - INFO - Attempt 2/3 for structured generation
2025-10-29 10:49:01,610 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:49:34,813 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:49:34,814 - src.synthesis.ollama_client - INFO - Generated response length: 2674 characters
2025-10-29 10:49:34,814 - src.synthesis.ollama_client - WARNING - Response may be truncated - generation not complete
2025-10-29 10:49:34,814 - src.synthesis.ollama_client - WARNING - LLM response incomplete (num_predict=4096); retrying with num_predict=6144
2025-10-29 10:49:34,814 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:49:57,500 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:49:57,500 - src.synthesis.ollama_client - INFO - Generated response length: 1217 characters
2025-10-29 10:49:57,500 - src.synthesis.ollama_client - WARNING - Response may be truncated - generation not complete
2025-10-29 10:49:57,500 - src.synthesis.ollama_client - WARNING - LLM response incomplete (num_predict=6144); retrying with num_predict=8192
2025-10-29 10:49:57,500 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:50:39,394 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:50:39,395 - src.synthesis.ollama_client - INFO - Generated response length: 2316 characters
2025-10-29 10:50:39,395 - src.synthesis.ollama_client - INFO - Direct JSON parsing successful
2025-10-29 10:50:39,395 - src.synthesis.ollama_client - WARNING - All 6 list fields are empty - may indicate poor LLM output
2025-10-29 10:50:39,395 - src.synthesis.ollama_client - WARNING - Attempt 2 failed: All list fields are empty - no content generated
2025-10-29 10:50:39,395 - src.synthesis.ollama_client - INFO - Retrying with temperature 0.6
2025-10-29 10:50:39,395 - src.synthesis.ollama_client - INFO - Attempt 3/3 for structured generation
2025-10-29 10:50:39,395 - src.synthesis.ollama_client - INFO - Generating response with model: qwen3:32b
2025-10-29 10:51:13,116 - httpx - INFO - HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
2025-10-29 10:51:13,117 - src.synthesis.ollama_client - INFO - Generated response length: 1909 characters
2025-10-29 10:51:13,117 - src.synthesis.ollama_client - WARNING - Response may be truncated - generation not complete
2025-10-29 10:51:13,117 - src.synthesis.ollama_client - WARNING - LLM response incomplete (num_predict=4096); retrying with num_predict=6144
